kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Way Kanan;2018;Padi Sawah;0;0;0;
Way Kanan;2018;Ubijalar;2055.811179;94;218.703317;
Way Kanan;2018;Ubikayu / Ketela Pohon;221178.8961;9414;234.9467772;
Way Kanan;2019;Jagung;0;0;0;
Way Kanan;2019;Kacang Hijau;33.6426;34.7;9.695273775;
Way Kanan;2019;Kacang Tamnah;300;234.2;12.80956447;
Way Kanan;2019;Kedelai;605;459;13.18082789;
Way Kanan;2019;Padi;59419.44;17586.18;33.78757638;
Way Kanan;2019;Padi Ladang;0;0;0;
Way Kanan;2019;Padi Sawah;0;0;0;
Way Kanan;2019;Ubijalar;953.1414935;44;216.6230667;
Way Kanan;2019;Ubikayu / Ketela Pohon;225019.5226;10870;207.0096804;
Way Kanan;2020;Jagung;0;0;0;
Way Kanan;2020;Kacang Hijau;30;39;7.692307692;
Way Kanan;2020;Kacang Tamnah;468.1619815;312.9;14.96203201;
Way Kanan;2020;Kedelai;0;0;0;
Way Kanan;2020;Padi;78824.55;17766.75;44.36633036;
Way Kanan;2020;Padi Ladang;0;0;0;
Way Kanan;2020;Padi Sawah;0;0;0;
Way Kanan;2020;Ubijalar;1257.800228;79.8;157.6190761;
Way Kanan;2020;Ubikayu / Ketela Pohon;406258.3919;17310;234.6957781;
Way Kanan;2021;Jagung;0;0;0;
Way Kanan;2021;Kacang Hijau;32.7;54;6.055555556;
Way Kanan;2021;Kacang Tamnah;151.37024;116.5;12.99315365;
Way Kanan;2021;Kedelai;122.4359712;84.3;14.52384;
Way Kanan;2021;Padi;82234.55;17403.59;47.25148662;
Way Kanan;2021;Padi Ladang;0;0;0;
Way Kanan;2021;Padi Sawah;0;0;0;
Way Kanan;2021;Ubijalar;1214.495412;63;192.7770495;
Way Kanan;2021;Ubikayu / Ketela Pohon;507983.4317;18627;272.7134974;
Way Kanan;2022;Jagung;0;0;0;
Way Kanan;2022;Kacang Hijau;7;6.8;10.29411765;
