komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Bawang Merah,22/02/2018,""21,750"""
"Bawang Putih,22/02/2018,""30,400"""
"Cabai Merah Besar,22/02/2018,""45,650"""
"Cabai Merah Keriting,22/02/2018,""33,400"""
"Cabai Rawit Hijau,22/02/2018,""32,500"""
"Cabai Rawit Merah,22/02/2018,""46,500"""
"Minyak Goreng,22/02/2018,""13,100"""
"Gula Pasir,22/02/2018,""12,700"""
"Beras,23/02/2018,""12,150"""
"Daging Ayam,23/02/2018,""29,250"""
"Daging Sapi,23/02/2018,""110,000"""
"Telur Ayam,23/02/2018,""21,550"""
"Bawang Merah,23/02/2018,""21,750"""
"Bawang Putih,23/02/2018,""30,400"""
"Cabai Merah Besar,23/02/2018,""45,750"""
"Cabai Merah Keriting,23/02/2018,""33,150"""
"Cabai Rawit Hijau,23/02/2018,""32,250"""
"Cabai Rawit Merah,23/02/2018,""45,750"""
"Minyak Goreng,23/02/2018,""13,100"""
"Gula Pasir,23/02/2018,""12,700"""
"Beras,26/02/2018,""12,150"""
"Daging Ayam,26/02/2018,""28,850"""
"Daging Sapi,26/02/2018,""110,000"""
"Telur Ayam,26/02/2018,""21,550"""
"Bawang Merah,26/02/2018,""21,900"""
"Bawang Putih,26/02/2018,""30,900"""
"Cabai Merah Besar,26/02/2018,""45,150"""
"Cabai Merah Keriting,26/02/2018,""32,400"""
"Cabai Rawit Hijau,26/02/2018,""32,500"""
"Cabai Rawit Merah,26/02/2018,""44,250"""
"Minyak Goreng,26/02/2018,""13,100"""
"Gula Pasir,26/02/2018,""12,700"""
